TERM,SCHEMA
SybrSafe Dye,"SybrSafe Dye is a fluorescent dye used to stain nucleic acids in gel electrophoresis, allowing visualization of DNA or RNA under UV or blue light. You will use SybrSafe in BILD 4 to visualize your DNA bands on the agarose gel."
Genetic Engineering,"Genetic engineering is the direct manipulation of an organism’s genes using biotechnology, often to introduce new traits or enhance certain biological functions. Techniques like CRISPR-Cas9 allow for precise gene edits."
CRISPR-Cas9,"CRISPR-Cas9 is a gene-editing tool that allows for precise modification of DNA within an organism, utilizing the Cas9 protein to cut DNA and a guide RNA to direct the location of the cut. In BILD 4, you may discuss the potential applications of CRISPR in microbiome research."
Jennifer Doudna,"Jennifer Doudna is a pioneering scientist in the field of gene editing and co-inventor of the CRISPR-Cas9 gene-editing technology, which has revolutionized genetics and molecular biology."
Strategy to learn a new lab technique; GOAL,"The specific outcome you aim to achieve by learning the new technique, such as mastering a procedure or gaining reproducible results. For example, mastering PCR setup and running it successfully."
Strategy to learn a new lab technique; DATA,The information and observations collected while performing the lab technique that allow for evaluation and analysis of the results. This could include the concentration and purity of DNA measured using the NanoDrop or the size of PCR products observed on a gel.
Strategy to learn a new lab technique; MECHANISM,"The underlying biological or chemical process that the lab technique manipulates or utilizes. For PCR, the mechanism involves the amplification of DNA using repeated heating and cooling cycles to replicate DNA."
Strategy to learn a new lab technique; REAGENTS,"The chemicals, biological agents, and other materials required to carry out the lab technique. In BILD 4, PCR reagents include Taq polymerase, primers, dNTPs, buffers, and your DNA sample."
Strategy to learn a new lab technique; CONTROLS,"The standard conditions used in the experiment that help validate the results by providing a baseline for comparison. In PCR, a no-template control ensures no contamination, while a positive control confirms the reaction works."
Strategy to learn a new lab technique; EXPECTED RESULTS,"The anticipated outcomes of the experiment, which serve as a basis for comparison when analyzing actual results. In PCR, you expect a specific band size corresponding to the target DNA fragment."
Strategy to learn a new lab technique; TROUBLESHOOTING,"The process of identifying and resolving issues encountered during the execution of the lab technique to improve the procedure and outcomes. If your PCR doesn’t work, you might check primer design, reagent concentrations, or contamination."
Nucleotide,"Nucleotides are the basic building blocks of DNA and RNA, consisting of a nitrogenous base, a sugar molecule, and a phosphate group. They are the substrate for DNA polymerase during PCR."
Antiparallel strands,"Antiparallel strands refer to the opposite orientation of the two strands of DNA in a double helix, where one strand runs 5' to 3' and the other runs 3' to 5'. This orientation is crucial for DNA replication and PCR."
What direction does DNA grow in? 5' or 3',"DNA grows in the 5' to 3' direction, meaning new nucleotides are added to the 3' end of the growing strand. This principle is fundamental for processes like PCR and DNA replication."
dNTPs,"Deoxynucleotide triphosphates (dNTPs) are the building blocks used by DNA polymerase to synthesize new strands of DNA during replication or PCR. In BILD 4, dNTPs are a critical component of your PCR reaction mix."
DNA Polymerase,"DNA polymerase is an enzyme that synthesizes new strands of DNA by adding nucleotides to a pre-existing strand based on the template DNA sequence. Taq polymerase, used in PCR, is a heat-stable DNA polymerase that remains active during the high temperatures of the denaturation phase."
Gel electrophoresis buffer,"Gel electrophoresis buffer is a solution used to conduct electricity and maintain a stable pH during the separation of nucleic acids in gel electrophoresis. Common buffers include TAE and TBE, which help carry the electric current through the agarose gel during electrophoresis."
